,sense_id
0,6492f982426d9bf5316e7541
1,6492f982426d9bf5316e7546
2,6492f982426d9bf5316e754c
3,6492f982426d9bf5316e754d
4,6492f982426d9bf5316e754f
5,6492f982426d9bf5316e7551
6,6492f982426d9bf5316e7553
7,6492f982426d9bf5316e7555
8,6492f982426d9bf5316e7556
9,6492f982426d9bf5316e7561
10,6492f982426d9bf5316e756a
11,6492f982426d9bf5316e756c
12,6492f982426d9bf5316e756d
13,6492f982426d9bf5316e756e
14,6492f982426d9bf5316e7570
15,6492f982426d9bf5316e7572
16,6492f982426d9bf5316e7573
17,6492f982426d9bf5316e7574
18,6492f982426d9bf5316e7575
19,6492f982426d9bf5316e7577
20,6492f982426d9bf5316e7578
21,6492f982426d9bf5316e757a
22,6492f982426d9bf5316e757b
23,6492f982426d9bf5316e7584
24,6492f982426d9bf5316e7586
25,6492f982426d9bf5316e7587
26,6492f982426d9bf5316e7589
27,6492f982426d9bf5316e758a
28,6492f982426d9bf5316e758b
29,6492f982426d9bf5316e758c
30,6492f982426d9bf5316e7590
31,6492f982426d9bf5316e7591
32,6492f982426d9bf5316e7593
33,6492f982426d9bf5316e7597
34,6492f982426d9bf5316e7599
35,6488235d3deee2643bc2a044
36,6492f982426d9bf5316e75a0
37,6492f982426d9bf5316e75a2
38,6492f982426d9bf5316e75a3
39,6492f982426d9bf5316e75a5
40,6492f982426d9bf5316e75ac
41,6492f982426d9bf5316e75ae
42,6492f982426d9bf5316e75b6
43,6492f982426d9bf5316e75b8
44,6492f982426d9bf5316e75ba
45,6492f982426d9bf5316e75bb
46,6492f982426d9bf5316e75bc
47,6492f982426d9bf5316e75be
48,6492f982426d9bf5316e75c1
49,6492f982426d9bf5316e75c3
50,6492f982426d9bf5316e75c4
51,6492f982426d9bf5316e75c5
52,6492f982426d9bf5316e75c6
53,6492f982426d9bf5316e75c7
54,6492f982426d9bf5316e75cc
55,6492f982426d9bf5316e75cd
56,648ee736b948115c82160e29
57,64d0103b2650c8ee1bccd2e3
58,64d013032650c8ee1bccd498
59,648f6f3db948115c82168100
60,64cf7b55ea9aa1d676a65c2d
61,648ef587b948115c82162546
62,648f15f4b948115c8216377a
63,648f2159b948115c82164049
64,64fb454570ee2dbe5462e76d
65,648fa7d0b948115c82168c2e
66,648f885db948115c82168765
67,6491761fb948115c821f73ac
68,64930cd0426d9bf531927dab
69,648f6482b948115c82167b6c
70,648f909cb948115c821688d9
71,64905381b948115c82182078
72,6490506eb948115c8218200c
73,64905a25b948115c82182af7
74,64904ae1b948115c82181e5a
75,6490234db948115c8217bf64
76,6490306db948115c821812dc
77,64905d5ab948115c82182bb5
78,64902acab948115c8217ef82
79,648f80a0b948115c82168525
80,648e16883deee2643bc8ec77
81,648df8f23deee2643bc8e0f3
82,648eb4a83deee2643bc94744
83,648dd8fb3deee2643bc8d743
84,648d998c3deee2643bc85303
85,648d998c3deee2643bc85304
86,648dc1d13deee2643bc8c8b8
87,648ed190b948115c8215e671
88,648da7ee3deee2643bc85e60
89,648da7ee3deee2643bc85e61
90,648d6edd3deee2643bc7669c
91,648d77dd3deee2643bc7943e
92,648dd5b63deee2643bc8d5d6
93,6490d116b948115c821ef147
94,648ee36bb948115c821606cb
95,648eeb11b948115c82161d95
96,648f4c08b948115c82166c17
97,648f4c08b948115c82166c18
98,64b15292768ed317d9691926
99,64ad12073439b2783d9938d2
100,64ad05d33439b2783d99246c
101,64c026d7a823f5224137de3a
102,64904dbbb948115c82181f14
103,64919f6d6a950c7be54209d6
104,649200b06a950c7be54247af
105,648f7a82b948115c821682aa
106,648d8ae63deee2643bc81c57
107,6491e5dd6a950c7be54238c2
108,649532eae157ba210ee8dce2
109,648f67dab948115c82167d49
110,648d91f73deee2643bc840a2
111,64d019f22650c8ee1bccd99c
112,64908a40b948115c82187e45
113,649b7a12e157ba210eef028a
114,648f4f77b948115c82166e62
115,648f4a5fb948115c82166ac8
116,648f62eeb948115c821679f5
117,649363d5426d9bf53192d216
118,648f671db948115c82167d12
119,64911cd7b948115c821f0852
120,648dbd7c3deee2643bc8c631
121,648d9c543deee2643bc8574c
122,648dc5943deee2643bc8ca48
123,648defce3deee2643bc8dd39
124,648d8c0c3deee2643bc82103
125,648d9bbe3deee2643bc856bc
126,64902147b948115c8217be5f
127,64906c97b948115c821830c9
128,648d9d3d3deee2643bc857b9
129,648d9cf73deee2643bc85792
130,648e3c2c3deee2643bc8fcb2
131,648e4f353deee2643bc9011d
132,648e4f353deee2643bc9011e
133,648f4582b948115c82166a2d
134,648f6977b948115c82167e86
135,648f807fb948115c82168516
136,648f98bab948115c82168a4e
137,64902cf2b948115c82180d02
138,64aadf703439b2783d952c9f
139,649003dab948115c8216aa10
140,648e269d3deee2643bc8f66a
141,64d582ac087620a0d5795701
142,64d58a97087620a0d5795fdb
143,649adbe4e157ba210eee27e6
144,64d5fb45087620a0d57c1d24
145,648ef7fcb948115c82162a32
146,648ef846b948115c82162a4d
147,64a969633439b2783d90733c
148,648dc0963deee2643bc8c840
149,6492d7266a950c7be5431dd1
150,648f6d5db948115c82167fbf
151,648e40db3deee2643bc8fdd4
152,648e47593deee2643bc8ff20
153,648f7720b948115c8216824e
154,648f4134b948115c8216687b
155,648f4af7b948115c82166b10
156,64901469b948115c82177c32
157,648f5869b948115c82167591
158,648f32bfb948115c82165e4b
159,648dc9ce3deee2643bc8cb29
160,648e58eb3deee2643bc9023d
161,648debfa3deee2643bc8dbe8
162,648e54c33deee2643bc90190
163,648ee30ab948115c8216064d
164,648ee30ab948115c8216064e
165,648e13ba3deee2643bc8eb8e
166,648e18b23deee2643bc8ed55
167,648ecc0ab948115c8215e469
168,648ecc0ab948115c8215e46a
169,648e1fd63deee2643bc8f178
170,648e2f1a3deee2643bc8f9b6
171,648dc4633deee2643bc8c9fc
172,648dc4633deee2643bc8c9fd
173,648dc4633deee2643bc8c9fe
174,6494dca4e157ba210ee8d85f
175,648eac703deee2643bc93ba0
176,648ec20ab948115c8215d901
177,648f9050b948115c82168860
178,648e9baf3deee2643bc92198
179,64d34f00e9eba0a85f5e18e3
180,64a97a393439b2783d91e083
181,64a9d9283439b2783d92bb9f
182,64aa60d73439b2783d935e87
183,648e4c7e3deee2643bc9009f
184,64aa7a533439b2783d938070
185,648cd38b3deee2643bc65d99
186,6493673e426d9bf53192d5e7
187,64956e8de157ba210ee95e61
188,64d212f42371c2856b554c4f
189,6494bbcce157ba210ee8ceee
190,6494ad78e157ba210ee8bf97
191,649021f0b948115c8217beaf
192,648f8ac3b948115c821687e9
193,648f827cb948115c82168550
194,648e45873deee2643bc8feb9
195,649fe2eee157ba210ef144f8
196,648e305f3deee2643bc8fa02
197,648e27753deee2643bc8f698
198,648e1c8c3deee2643bc8ee7d
199,648defbe3deee2643bc8dd14
200,648cbf063deee2643bc65287
201,648ca7b03deee2643bc648c5
202,648ca1503deee2643bc645ba
203,648c92453deee2643bc63fe2
204,648c8d8b3deee2643bc63ea2
205,648c74403deee2643bc6375c
206,648b7f833deee2643bc5c86f
207,64874abd3deee2643bc1f304
208,648747833deee2643bc1eef3
209,64872ed03deee2643bc1d87e
210,64872e893deee2643bc1d841
211,64872ae83deee2643bc1d66f
212,64872ae83deee2643bc1d670
213,64982d7be157ba210eec100a
214,64981d42e157ba210eebfe30
215,649608b9e157ba210ee9ce9c
216,6495f557e157ba210ee9c364
217,6495ef07e157ba210ee9bed1
218,64d34a7de9eba0a85f5e159e
219,6495e8f2e157ba210ee9bbbf
220,6495e129e157ba210ee9b80e
221,648ee986b948115c82161bd2
222,648ec6d6b948115c8215e28e
223,648e3cbc3deee2643bc8fccc
224,648e0d923deee2643bc8e947
225,648dc8863deee2643bc8ca9d
226,648df2c63deee2643bc8de60
227,648dbd6d3deee2643bc8c60d
228,648da6d43deee2643bc85dd7
229,648d99ec3deee2643bc85347
230,648d808b3deee2643bc7ca31
231,64935816426d9bf53192c955
232,64935816426d9bf53192c956
233,64932f90426d9bf53192b2da
234,64932f90426d9bf53192b2db
235,6492f982426d9bf5316e75cf
236,6491eb416a950c7be5423bc4
237,649207336a950c7be54263c5
238,6491b9366a950c7be5422136
239,6491b9366a950c7be5422137
240,6491a52a6a950c7be54213b4
241,6491a52a6a950c7be54213b5
242,6491a52a6a950c7be54213b6
243,648dc3123deee2643bc8c9ac
244,648dc3123deee2643bc8c9ad
245,648e25773deee2643bc8f56a
246,649049eeb948115c82181ddc
247,648d6a843deee2643bc75781
248,648ba6ab3deee2643bc5d21a
249,648ba6ab3deee2643bc5d21b
250,648b54be3deee2643bc5abc5
251,6491790db948115c821f7669
252,6491734ab948115c821f7231
253,64916f50b948115c821f707c
254,6492101b6a950c7be542758c
255,648c4a8a3deee2643bc60a37
256,649217116a950c7be5427971
257,64940bf4426d9bf531936d4c
258,648c3e973deee2643bc605ea
259,648c3be13deee2643bc60599
260,648c3abf3deee2643bc60554
